lga_code,lga_name,SEQ,det,med,high
30250,Aurukun,FALSE,0.75,0.75,0.029
30300,Balonne,FALSE,0.75,0.75,0.029
30370,Banana,FALSE,0.75,0.75,0.029
30410,Barcaldine,FALSE,0.75,0.75,0.029
30450,Barcoo,FALSE,0.75,0.75,0.029
30760,Blackall Tambo,FALSE,0.75,0.75,0.029
30900,Boulia,FALSE,0.75,0.75,0.029
31000,Brisbane,TRUE,0.75,0.75,0.029
31750,Bulloo,FALSE,0.75,0.75,0.029
31820,Bundaberg,FALSE,0.75,0.75,0.029
31900,Burdekin,FALSE,0.75,0.75,0.029
31950,Burke,FALSE,0.75,0.75,0.029
32080,Cairns,FALSE,0.75,0.75,0.029
32250,Carpentaria,FALSE,0.75,0.75,0.029
32260,Cassowary Coast,FALSE,0.75,0.75,0.029
32270,Central Highlands (Qld),FALSE,0.75,0.75,0.029
32310,Charters Towers,FALSE,0.75,0.75,0.029
32330,Cherbourg,FALSE,0.75,0.75,0.029
32450,Cloncurry,FALSE,0.75,0.75,0.029
32500,Cook,FALSE,0.75,0.75,0.029
32600,Croydon,FALSE,0.75,0.75,0.029
32750,Diamantina,FALSE,0.75,0.75,0.029
32770,Doomadgee,FALSE,0.75,0.75,0.029
32810,Douglas,FALSE,0.75,0.75,0.029
33100,Etheridge,FALSE,0.75,0.75,0.029
33200,Flinders (Qld),FALSE,0.75,0.75,0.029
33220,Fraser Coast,FALSE,0.75,0.75,0.029
33360,Gladstone,FALSE,0.75,0.75,0.029
33430,Gold Coast,TRUE,0.75,0.75,0.029
33610,Goondiwindi,FALSE,0.75,0.75,0.029
33620,Gympie,FALSE,0.75,0.75,0.029
33800,Hinchinbrook,FALSE,0.75,0.75,0.029
33830,Hope Vale,FALSE,0.75,0.75,0.029
33960,Ipswich,TRUE,0.75,0.75,0.029
33980,Isaac,FALSE,0.75,0.75,0.029
34420,Kowanyama,FALSE,0.75,0.75,0.029
34530,Livingstone,FALSE,0.75,0.75,0.029
34570,Lockhart River,FALSE,0.75,0.75,0.029
34580,Lockyer Valley,TRUE,0.75,0.75,0.029
34590,Logan,TRUE,0.75,0.75,0.029
34710,Longreach,FALSE,0.75,0.75,0.029
34770,Mackay,FALSE,0.75,0.75,0.029
34800,McKinlay,FALSE,0.75,0.75,0.029
34830,Mapoon,FALSE,0.75,0.75,0.029
34860,Maranoa,FALSE,0.75,0.75,0.029
34880,Mareeba,FALSE,0.75,0.75,0.029
35010,Moreton Bay,TRUE,0.75,0.75,0.029
35250,Mornington,FALSE,0.75,0.75,0.029
35300,Mount Isa,FALSE,0.75,0.75,0.029
35600,Murweh,FALSE,0.75,0.75,0.029
35670,Napranum,FALSE,0.75,0.75,0.029
35740,Noosa,TRUE,0.75,0.75,0.029
35760,North Burnett,FALSE,0.75,0.75,0.029
35780,Northern Peninsula Area,FALSE,0.75,0.75,0.029
35790,Palm Island,FALSE,0.75,0.75,0.029
35800,Paroo,FALSE,0.75,0.75,0.029
36070,Pormpuraaw,FALSE,0.75,0.75,0.029
36150,Quilpie,FALSE,0.75,0.75,0.029
36250,Redland,TRUE,0.75,0.75,0.029
36300,Richmond,FALSE,0.75,0.75,0.029
36370,Rockhampton,FALSE,0.75,0.75,0.029
36510,Scenic Rim,TRUE,0.75,0.75,0.029
36580,Somerset,TRUE,0.75,0.75,0.029
36630,South Burnett,FALSE,0.75,0.75,0.029
36660,Southern Downs,FALSE,0.75,0.75,0.029
36720,Sunshine Coast,TRUE,0.75,0.75,0.029
36820,Tablelands,FALSE,0.75,0.75,0.029
36910,Toowoomba,TRUE,0.75,0.75,0.029
36950,Torres,FALSE,0.75,0.75,0.029
36960,Torres Strait Island,FALSE,0.75,0.75,0.029
37010,Townsville,FALSE,0.75,0.75,0.029
37300,Weipa,FALSE,0.75,0.75,0.029
37310,Western Downs,FALSE,0.75,0.75,0.029
37340,Whitsunday,FALSE,0.75,0.75,0.029
37400,Winton,FALSE,0.75,0.75,0.029
37550,Woorabinda,FALSE,0.75,0.75,0.029
37570,Wujal Wujal,FALSE,0.75,0.75,0.029
37600,Yarrabah,FALSE,0.75,0.75,0.029
10050,Albury,,0.75,0.75,0.029
10180,Armidale,,0.75,0.75,0.029
10250,Ballina,,0.75,0.75,0.029
10300,Balranald,,0.75,0.75,0.029
10470,Bathurst,,0.75,0.75,0.029
10500,Bayside (NSW),,0.75,0.75,0.029
10550,Bega Valley,,0.75,0.75,0.029
10600,Bellingen,,0.75,0.75,0.029
10650,Berrigan,,0.75,0.75,0.029
10750,Blacktown,,0.75,0.75,0.029
10800,Bland,,0.75,0.75,0.029
10850,Blayney,,0.75,0.75,0.029
10900,Blue Mountains,,0.75,0.75,0.029
10950,Bogan,,0.75,0.75,0.029
11150,Bourke,,0.75,0.75,0.029
11200,Brewarrina,,0.75,0.75,0.029
11250,Broken Hill,,0.75,0.75,0.029
11300,Burwood,,0.75,0.75,0.029
11350,Byron,,0.75,0.75,0.029
11400,Cabonne,,0.75,0.75,0.029
11450,Camden,,0.75,0.75,0.029
11500,Campbelltown (NSW),,0.75,0.75,0.029
11520,Canada Bay,,0.75,0.75,0.029
11570,Canterbury-Bankstown,,0.75,0.75,0.029
