WebID,Area,Data label,2021,2021%,2016,2016%,Data Type
10,South East Queensland,Separate house,1065100,68.6235,979388,71.0218,EN
10,South East Queensland,Medium density,275174,17.7292,236728,17.1667,EN
10,South East Queensland,High density,196513,12.6612,141188,10.2385,EN
10,South East Queensland,"Caravans, cabin, houseboat",9196,0.5925,12252,0.8885,EN
10,South East Queensland,Other,2146,0.1383,3109,0.2255,EN
10,South East Queensland,Not stated,3964,0.2554,6332,0.4592,EN
10,South East Queensland,Total Private Dwellings,1552093,100,1378997,100,EN
20,Greater Brisbane,Separate house,726545,71.4619,671213,74.4307,EN
20,Greater Brisbane,Medium density,164113,16.1419,138324,15.3387,EN
20,Greater Brisbane,High density,118408,11.6464,81463,9.0334,EN
20,Greater Brisbane,"Caravans, cabin, houseboat",4506,0.4432,5414,0.6004,EN
20,Greater Brisbane,Other,1060,0.1043,1774,0.1967,EN
20,Greater Brisbane,Not stated,2057,0.2023,3608,0.4001,EN
20,Greater Brisbane,Total Private Dwellings,1016689,100,901796,100,EN
25,Regional Queensland,Separate house,849452,72.3724,792416,72.9998,EN
25,Regional Queensland,Medium density,191573,16.3218,173498,15.9832,EN
25,Regional Queensland,High density,93453,7.9621,74050,6.8217,EN
25,Regional Queensland,"Caravans, cabin, houseboat",25695,2.1892,30306,2.7919,EN
25,Regional Queensland,Other,4657,0.3968,6679,0.6153,EN
25,Regional Queensland,Not stated,8893,0.7577,8556,0.7882,EN
25,Regional Queensland,Total Private Dwellings,1173723,100,1085505,100,EN
30,Greater Sydney,Separate house,1108781,53.4023,1021148,55.0261,EN
30,Greater Sydney,Medium density,390251,18.7957,376252,20.2749,EN
30,Greater Sydney,High density,561671,27.0518,436793,23.5372,EN
30,Greater Sydney,"Caravans, cabin, houseboat",2233,0.1075,3364,0.1813,EN
30,Greater Sydney,Other,8639,0.4161,10177,0.5484,EN
30,Greater Sydney,Not stated,4706,0.2267,8019,0.4321,EN
30,Greater Sydney,Total Private Dwellings,2076281,100,1855753,100,EN
35,Greater Melbourne,Separate house,1339408,65.0997,1211732,66.1412,EN
35,Greater Melbourne,Medium density,444307,21.5948,420230,22.9378,EN
35,Greater Melbourne,High density,263393,12.8018,184733,10.0835,EN
35,Greater Melbourne,"Caravans, cabin, houseboat",2502,0.1216,3571,0.1949,EN
35,Greater Melbourne,Other,5573,0.2709,6362,0.3473,EN
35,Greater Melbourne,Not stated,2289,0.1113,5410,0.2953,EN
35,Greater Melbourne,Total Private Dwellings,2057472,100,1832038,100,EN
40,Queensland,Separate house,1575993,71.9492,1463627,73.6487,EN
40,Queensland,Medium density,355691,16.2384,311823,15.6907,EN
40,Queensland,High density,211862,9.6722,155509,7.8251,EN
40,Queensland,"Caravans, cabin, houseboat",30204,1.3789,35721,1.7975,EN
40,Queensland,Other,5721,0.2612,8458,0.4256,EN
40,Queensland,Not stated,10955,0.5001,12171,0.6124,EN
