lga_code,lga_name,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw
10050,Albury (C),26364.30982,28716.34728,31646.19475,34715.78469,37639.56877
10180,Armidale Regional (A),13339.13856,13328.00228,13577.4022,13918.27598,14261.37439
10250,Ballina (A),21224.7152,22669.0937,24146.44343,25468.27817,26576.82188
10300,Balranald (A),1114.528723,1047.74339,993.2210101,944.3544757,893.5190655
10470,Bathurst Regional (A),19379.99856,20716.0503,22265.19452,23886.47059,25496.13963
10500,Bayside (A),71878.63979,72337.8717,77840.84615,81198.94425,83628.79414
10550,Bega Valley (A),19195.02321,19947.86358,20600.90192,21081.65319,21400.03543
10600,Bellingen (A),6457.739056,6596.185969,6733.100732,6840.593529,6911.43128
10650,Berrigan (A),4799.982521,4951.470273,5186.666753,5406.379858,5612.518753
10750,Blacktown (C),129208.2565,138549.0606,151893.1359,166109.3112,180693.2143
10800,Bland (A),3058.072221,3146.47806,3221.950296,3260.871705,3278.03979
10850,Blayney (A),3412.620791,3460.648166,3537.450799,3619.17023,3697.801808
10900,Blue Mountains (C),36754.31051,38200.78957,39646.94347,41069.96503,42450.24029
10950,Bogan (A),1270.915947,1139.216954,1019.218331,910.3866556,802.9716901
11150,Bourke (A),1248.220295,1150.27267,1052.734427,939.378348,819.8412974
11200,Brewarrina (A),775.7842852,758.912022,729.2759367,672.8993563,582.1807078
11250,Broken Hill (C),9292.909681,8685.332322,8025.793052,7246.50117,6361.055522
11300,Burwood (A),15644.17892,17741.11541,20015.17529,22293.24302,23319.09059
11350,Byron (A),17505.20293,18442.62463,19642.2196,20845.34261,22027.30322
11400,Cabonne (A),6117.299083,6374.879934,6659.452719,6932.7831,7207.812554
11450,Camden (A),36552.74178,43498.58751,52433.44058,62367.91712,74687.66026
11500,Campbelltown (C) (NSW),62604.65412,66720.24151,72839.00327,79901.26961,86423.89994
11520,Canada Bay (A),41407.40119,43410.49142,45246.68208,47080.61521,48615.76844
11570,Canterbury-Bankstown (A),135119.171,141922.0327,151099.1587,160363.7311,169144.71
11600,Carrathool (A),1271.556306,1238.018797,1222.256979,1209.849993,1200.790293
11650,Central Coast (C) (NSW),159168.6827,166186.6672,174769.9477,183555.3347,191696.229
11700,Central Darling (A),1037.329951,995.3073431,960.9847056,919.9007334,850.2429356
11720,Cessnock (C),26205.55142,29140.69734,32345.4765,35628.62267,38827.53092
11730,Clarence Valley (A),25746.045,26414.73478,27137.73615,27721.3104,28153.22033
11750,Cobar (A),2272.535816,2053.677876,1850.559513,1646.991511,1409.95325
11800,Coffs Harbour (C),35316.24096,36887.16852,38804.19884,40537.96628,41983.19425
12000,Coolamon (A),1980.334724,2085.844397,2241.855856,2408.076468,2572.80082
12150,Coonamble (A),2042.463021,2009.84826,1942.352951,1843.447129,1715.887894
12160,Cootamundra-Gundagai Regional (A),5600.246325,5659.859865,5732.460511,5789.892571,5829.780907
12350,Cowra (A),6377.281506,6720.432907,7021.703637,7259.784316,7443.605909
12380,Cumberland (A),83494.85032,89238.08533,97187.42131,103854.9872,110030.4316
12390,Dubbo Regional (A),23323.35398,24473.86825,25843.2835,27222.29771,28526.15469
12700,Dungog (A),4582.264647,5159.752551,5763.708459,6380.876037,6995.386793
12730,Edward River (A),4628.348586,4737.300202,4849.292883,4926.207084,4950.299573
12750,Eurobodalla (A),26373.12201,28227.29992,29927.00624,31373.81598,32592.27436
12850,Fairfield (C),67940.74261,71234.53813,75389.08723,80161.98914,85978.74096
12870,Federation (A),6831.634352,7145.143777,7444.178222,7642.214633,7751.276206
12900,Forbes (A),4639.717556,4976.302382,5460.359269,5966.215305,6458.840771
12930,Georges River (A),60366.52225,61310.05237,64641.46774,68746.92089,72532.99558
12950,Gilgandra (A),1979.664299,1907.133546,1847.396002,1776.834615,1693.546816
13010,Glen Innes Severn (A),4585.016375,4735.697544,4862.435143,4937.335225,4966.146694
13310,Goulburn Mulwaree (A),14912.93423,16045.79263,17309.41975,18553.60614,19704.72428
13340,Greater Hume Shire (A),4916.717312,5206.993466,5551.103345,5883.783097,6206.381711
13450,Griffith (C),11559.10547,11993.76976,12712.57263,13455.50307,14159.57252
13550,Gunnedah (A),5765.540295,5867.874229,6038.625865,6211.488875,6350.413158
