lga_code,lga_name,SEQ,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw,2046_dw
30250,Aurukun,FALSE,331,381,389,398,404,408
30300,Balonne,FALSE,2057,2070,2076,2065,2041,2010
30370,Banana,FALSE,6846,6967,7017,7015,6994,6962
30410,Barcaldine,FALSE,1566,1562,1543,1526,1494,1454
30450,Barcoo,FALSE,177,179,177,176,173,169
30760,Blackall Tambo,FALSE,1040,1040,1027,1016,994,968
30900,Boulia,FALSE,204,208,205,203,198,192
31000,Brisbane,TRUE,515572,548564,575936,604312,632090,661436
31750,Bulloo,FALSE,143,144,142,140,136,131
31820,Bundaberg,FALSE,43974,46008,47820,49318,50261,50918
31900,Burdekin,FALSE,7843,7947,8073,8190,8313,8437
31950,Burke,FALSE,177,180,183,185,187,190
32080,Cairns,FALSE,70476,75376,80543,85408,89524,93370
32250,Carpentaria,FALSE,902,931,950,960,967,973
32260,Cassowary Coast,FALSE,13775,14544,15185,15856,16513,17156
32270,Central Highlands (Qld),FALSE,13136,13824,14325,14821,15342,15877
32310,Charters Towers,FALSE,5368,5459,5550,5637,5722,5795
32330,Cherbourg,FALSE,321,338,358,380,403,428
32450,Cloncurry,FALSE,1423,1496,1563,1548,1518,1483
32500,Cook,FALSE,2003,2136,2163,2189,2189,2181
32600,Croydon,FALSE,138,134,132,131,129,126
32750,Diamantina,FALSE,174,176,175,173,171,167
32770,Doomadgee,FALSE,361,377,379,381,382,384
32810,Douglas,FALSE,6132,6724,7268,7766,8228,8667
33100,Etheridge,FALSE,257,256,253,250,244,237
33200,Flinders (Qld),FALSE,836,853,872,862,844,825
33220,Fraser Coast,FALSE,50408,54015,56865,58911,60154,60973
33360,Gladstone,FALSE,28515,30329,31856,33335,34693,35940
33430,Gold Coast,TRUE,266977,302667,334522,366595,397150,426628
33610,Goondiwindi,FALSE,4676,4676,4688,4664,4609,4541
33620,Gympie,FALSE,23767,25610,26574,27309,27869,28260
33800,Hinchinbrook,FALSE,5622,5789,5813,5830,5836,5833
33830,Hope Vale,FALSE,332,357,367,373,378,382
33960,Ipswich,TRUE,86758,103934,125811,152522,181038,209404
33980,Isaac,FALSE,10327,10709,11053,11462,11889,12338
34420,Kowanyama,FALSE,294,314,332,348,358,364
34530,Livingstone,FALSE,16708,18355,20768,22981,24745,25852
34570,Lockhart River,FALSE,214,214,214,214,214,214
34580,Lockyer Valley,TRUE,15924,17317,18621,19974,21360,22768
34590,Logan,TRUE,125200,143622,161633,178428,189914,199142
34710,Longreach,FALSE,1797,1827,1834,1813,1773,1726
34770,Mackay,FALSE,50596,54133,57589,60986,63998,66845
34800,McKinlay,FALSE,340,355,365,361,354,347
34830,Mapoon,FALSE,105,112,117,119,123,127
34860,Maranoa,FALSE,6154,6235,6250,6218,6146,6056
34880,Mareeba,FALSE,9338,9922,10484,10921,11257,11530
35010,Moreton Bay,TRUE,186039,218348,248249,275248,301419,327578
35250,Mornington,FALSE,349,354,354,354,351,346
35300,Mount Isa,FALSE,8030,8219,8288,8338,8332,8293
35600,Murweh,FALSE,2077,2072,2048,2026,1981,1929
35670,Napranum,FALSE,261,270,277,282,286,290
35740,Noosa,TRUE,28141,29829,30761,31535,32245,32883
35760,North Burnett,FALSE,5140,5232,5271,5330,5373,5408
35780,Northern Peninsula Area,FALSE,806,842,862,883,913,930
35790,Palm Island,FALSE,517,552,595,669,778,926
35800,Paroo,FALSE,989,981,969,959,939,915
36070,Pormpuraaw,FALSE,229,240,250,260,266,269
36150,Quilpie,FALSE,412,410,405,401,393,383
36250,Redland,TRUE,64740,70547,74718,77890,80301,81411
36300,Richmond,FALSE,368,380,390,386,378,370
36370,Rockhampton,FALSE,35144,36546,38117,39602,40834,42178
36510,Scenic Rim,TRUE,17992,19773,21399,22511,23325,23952
36580,Somerset,TRUE,10710,11411,12285,13166,14063,14974
36630,South Burnett,FALSE,15666,16298,17011,17731,18411,19080
36660,Southern Downs,FALSE,17037,17450,17986,18406,18612,18685
36720,Sunshine Coast,TRUE,145694,165627,183829,201850,218561,234421
36820,Tablelands,FALSE,12181,12935,13613,14242,14808,15330
36910,Toowoomba,TRUE,73081,76947,81202,85039,88193,90962
36950,Torres,FALSE,1188,1231,1267,1295,1304,1300
36960,Torres Strait Island,FALSE,1279,1315,1314,1312,1295,1269
37010,Townsville,FALSE,81634,86678,92875,98984,104590,109524
37300,Weipa,FALSE,1670,1689,1695,1705,1706,1702
37310,Western Downs,FALSE,15566,16076,16605,16909,17030,17031
37340,Whitsunday,FALSE,15919,17181,18438,19684,20901,22117
37400,Winton,FALSE,637,646,637,630,615,597
37550,Woorabinda,FALSE,304,322,330,338,346,354
37570,Wujal Wujal,FALSE,89,103,106,108,109,109
37600,Yarrabah,FALSE,454,503,553,615,685,762
