lga_code,lga_name,SEQ,det,med,high
30250,Aurukun,FALSE,0.76,0.18,0.06
30300,Balonne,FALSE,0.76,0.18,0.06
30370,Banana,FALSE,0.76,0.18,0.06
30410,Barcaldine,FALSE,0.76,0.18,0.06
30450,Barcoo,FALSE,0.76,0.18,0.06
30760,Blackall Tambo,FALSE,0.76,0.18,0.06
30900,Boulia,FALSE,0.76,0.18,0.06
31000,Brisbane,TRUE,0.61,0.18,0.21
31750,Bulloo,FALSE,0.76,0.18,0.06
31820,Bundaberg,FALSE,0.76,0.18,0.06
31900,Burdekin,FALSE,0.76,0.18,0.06
31950,Burke,FALSE,0.76,0.18,0.06
32080,Cairns,FALSE,0.76,0.18,0.06
32250,Carpentaria,FALSE,0.76,0.18,0.06
32260,Cassowary Coast,FALSE,0.76,0.18,0.06
32270,Central Highlands (Qld),FALSE,0.76,0.18,0.06
32310,Charters Towers,FALSE,0.76,0.18,0.06
32330,Cherbourg,FALSE,0.76,0.18,0.06
32450,Cloncurry,FALSE,0.76,0.18,0.06
32500,Cook,FALSE,0.76,0.18,0.06
32600,Croydon,FALSE,0.76,0.18,0.06
32750,Diamantina,FALSE,0.76,0.18,0.06
32770,Doomadgee,FALSE,0.76,0.18,0.06
32810,Douglas,FALSE,0.76,0.18,0.06
33100,Etheridge,FALSE,0.76,0.18,0.06
33200,Flinders (Qld),FALSE,0.76,0.18,0.06
33220,Fraser Coast,FALSE,0.76,0.18,0.06
33360,Gladstone,FALSE,0.76,0.18,0.06
33430,Gold Coast,TRUE,0.525,0.25,0.225
33610,Goondiwindi,FALSE,0.76,0.18,0.06
33620,Gympie,FALSE,0.76,0.18,0.06
33800,Hinchinbrook,FALSE,0.76,0.18,0.06
33830,Hope Vale,FALSE,0.76,0.18,0.06
33960,Ipswich,TRUE,0.87,0.12,0.01
33980,Isaac,FALSE,0.76,0.18,0.06
34420,Kowanyama,FALSE,0.76,0.18,0.06
34530,Livingstone,FALSE,0.76,0.18,0.06
34570,Lockhart River,FALSE,0.76,0.18,0.06
34580,Lockyer Valley,TRUE,0.76,0.18,0.06
34590,Logan,TRUE,0.76,0.18,0.06
34710,Longreach,FALSE,0.76,0.18,0.06
34770,Mackay,FALSE,0.76,0.18,0.06
34800,McKinlay,FALSE,0.76,0.18,0.06
34830,Mapoon,FALSE,0.76,0.18,0.06
34860,Maranoa,FALSE,0.76,0.18,0.06
34880,Mareeba,FALSE,0.76,0.18,0.06
35010,Moreton Bay,TRUE,0.79,0.18,0.03
35250,Mornington,FALSE,0.76,0.18,0.06
35300,Mount Isa,FALSE,0.76,0.18,0.06
35600,Murweh,FALSE,0.76,0.18,0.06
35670,Napranum,FALSE,0.76,0.18,0.06
35740,Noosa,TRUE,0.76,0.18,0.06
35760,North Burnett,FALSE,0.76,0.18,0.06
35780,Northern Peninsula Area,FALSE,0.76,0.18,0.06
35790,Palm Island,FALSE,0.76,0.18,0.06
35800,Paroo,FALSE,0.76,0.18,0.06
36070,Pormpuraaw,FALSE,0.76,0.18,0.06
36150,Quilpie,FALSE,0.76,0.18,0.06
36250,Redland,TRUE,0.76,0.18,0.06
36300,Richmond,FALSE,0.76,0.18,0.06
36370,Rockhampton,FALSE,0.76,0.18,0.06
36510,Scenic Rim,TRUE,0.76,0.18,0.06
36580,Somerset,TRUE,0.76,0.18,0.06
36630,South Burnett,FALSE,0.76,0.18,0.06
36660,Southern Downs,FALSE,0.76,0.18,0.06
36720,Sunshine Coast,TRUE,0.76,0.18,0.06
36820,Tablelands,FALSE,0.76,0.18,0.06
36910,Toowoomba,TRUE,0.76,0.18,0.06
36950,Torres,FALSE,0.76,0.18,0.06
36960,Torres Strait Island,FALSE,0.76,0.18,0.06
37010,Townsville,FALSE,0.76,0.18,0.06
37300,Weipa,FALSE,0.76,0.18,0.06
37310,Western Downs,FALSE,0.76,0.18,0.06
37340,Whitsunday,FALSE,0.76,0.18,0.06
37400,Winton,FALSE,0.76,0.18,0.06
37550,Woorabinda,FALSE,0.76,0.18,0.06
37570,Wujal Wujal,FALSE,0.76,0.18,0.06
37600,Yarrabah,FALSE,0.76,0.18,0.06
