National Plantation Inventory region,State,Log type,2020-24,2025-29,2030-34,2035-39,2040-44,2045-49,2050-54,2055-59,2060-64
Western Australia,Western Australia,Softwood sawlog,899651.9028,876281.7045,848410.1325,848645.2187,885013.5638,801673.3985,1084021.449,909252.4571,901839.8421
Northern Territory,Northern Territory,Softwood sawlog,0,0,0,0,0,0,0,0,0
Mount Lofty Ranges and Kangaroo Island,South Australia,Softwood sawlog,250457.8416,170558.2337,104177.6746,126188.7293,142263.7632,132987.4599,189713.093,106890.2951,143197
Green Triangle,Victoria,Softwood sawlog,3033310.948,3188843.562,3178849.418,3490052.14,3746803.764,3947913.705,3866338.437,3758746.824,3453391.046
Northern Queensland,Queensland,Softwood sawlog,56900,98100,149700,273300,296200,260800,139500,213800,268900
South East Queensland,Queensland,Softwood sawlog,1839197.198,1929364.799,1927861.97,1846749.313,2025677.572,2014665.21,1937083.353,1924255.095,1943500.947
Northern Tablelands,New South Wales,Softwood sawlog,299938.8484,194173.5656,186629.5656,161973.4154,109477.4154,91775.4154,149473.5656,164980.5656,195145.5656
North Coast,New South Wales,Softwood sawlog,81178.139,98458.426,101823.6762,131882.2502,131828.4215,173132.1713,173931.5973,166100.426,119967.6762
Central Tablelands,New South Wales,Softwood sawlog,556712.8005,565977.286,564431.0056,678406.512,616529.3407,646095.133,549760.8679,576713.286,562781.8056
Southern Tablelands,New South Wales,Softwood sawlog,77139.73704,102939.1732,108896.6556,252124.7029,132523.5875,114998.2381,114435.1106,145299.4564,123639.1502
Murray Valley,Victoria,Softwood sawlog,1355464.856,1481220.158,2008108.537,2927453.137,2571904.975,2481040.352,2893833.791,2840236.634,2338531.295
Central Victoria,Victoria,Softwood sawlog,402985.8742,371684.191,426722.1282,397737.2159,474039.5427,526200.3255,421706.0692,438496.213,446489.2825
Central Gippsland,Victoria,Softwood sawlog,677432.8829,719677.3003,801360.4223,1096636.474,1030593.172,1027810.05,979333.9986,1010277.3,1006260.422
East Gippsland-Bombala,Victoria,Softwood sawlog,347943.7617,417433.1957,442295.8977,322728.1158,342330.0467,316247.9225,524635.6061,641303.1957,695635.5644
Tasmania,Tasmania,Softwood sawlog,652413.2302,925092.2487,947782.4524,1223439.089,1007504.478,1286157.464,1305944.455,1315765.47,1133021.728
