LGA_CODE23,LGA_NAME23
30250,Aurukun
30300,Balonne
30370,Banana
30410,Barcaldine
30450,Barcoo
30760,Blackall Tambo
30900,Boulia
31000,Brisbane
31750,Bulloo
31820,Bundaberg
31900,Burdekin
31950,Burke
32080,Cairns
32250,Carpentaria
32260,Cassowary Coast
32270,Central Highlands (Qld)
32310,Charters Towers
32330,Cherbourg
32450,Cloncurry
32500,Cook
32600,Croydon
32750,Diamantina
32770,Doomadgee
32810,Douglas
33100,Etheridge
33200,Flinders (Qld)
33220,Fraser Coast
33360,Gladstone
33430,Gold Coast
33610,Goondiwindi
33620,Gympie
33800,Hinchinbrook
33830,Hope Vale
33960,Ipswich
33980,Isaac
34420,Kowanyama
34530,Livingstone
34570,Lockhart River
34580,Lockyer Valley
34590,Logan
34710,Longreach
34770,Mackay
34800,McKinlay
34830,Mapoon
34860,Maranoa
34880,Mareeba
35010,Moreton Bay
35250,Mornington
35300,Mount Isa
35600,Murweh
35670,Napranum
35740,Noosa
35760,North Burnett
35780,Northern Peninsula Area
35790,Palm Island
35800,Paroo
36070,Pormpuraaw
36150,Quilpie
36250,Redland
36300,Richmond
36370,Rockhampton
36510,Scenic Rim
36580,Somerset
36630,South Burnett
36660,Southern Downs
36720,Sunshine Coast
36820,Tablelands
36910,Toowoomba
36950,Torres
36960,Torres Strait Island
37010,Townsville
37300,Weipa
37310,Western Downs
37340,Whitsunday
37400,Winton
37550,Woorabinda
37570,Wujal Wujal
37600,Yarrabah
39499,No usual address (Qld)
39799,Migratory - Offshore - Shipping (Qld)
