lga_code,lga_name,2021_incr_det_vs,2021_incr_med_vs,2021_incr_high_vs,2022_incr_det_vs,2022_incr_med_vs,2022_incr_high_vs,2023_incr_det_vs,2023_incr_med_vs,2023_incr_high_vs,2024_incr_det_vs,2024_incr_med_vs,2024_incr_high_vs,2025_incr_det_vs,2025_incr_med_vs,2025_incr_high_vs,2026_incr_det_vs,2026_incr_med_vs,2026_incr_high_vs,2027_incr_det_vs,2027_incr_med_vs,2027_incr_high_vs,2028_incr_det_vs,2028_incr_med_vs,2028_incr_high_vs,2029_incr_det_vs,2029_incr_med_vs,2029_incr_high_vs,2030_incr_det_vs,2030_incr_med_vs,2030_incr_high_vs,2031_incr_det_vs,2031_incr_med_vs,2031_incr_high_vs,2032_incr_det_vs,2032_incr_med_vs,2032_incr_high_vs,2033_incr_det_vs,2033_incr_med_vs,2033_incr_high_vs,2034_incr_det_vs,2034_incr_med_vs,2034_incr_high_vs,2035_incr_det_vs,2035_incr_med_vs,2035_incr_high_vs,2036_incr_det_vs,2036_incr_med_vs,2036_incr_high_vs,2037_incr_det_vs,2037_incr_med_vs,2037_incr_high_vs,2038_incr_det_vs,2038_incr_med_vs,2038_incr_high_vs,2039_incr_det_vs,2039_incr_med_vs,2039_incr_high_vs,2040_incr_det_vs,2040_incr_med_vs,2040_incr_high_vs,2041_incr_det_vs,2041_incr_med_vs,2041_incr_high_vs,2042_incr_det_vs,2042_incr_med_vs,2042_incr_high_vs,2043_incr_det_vs,2043_incr_med_vs,2043_incr_high_vs,2044_incr_det_vs,2044_incr_med_vs,2044_incr_high_vs,2045_incr_det_vs,2045_incr_med_vs,2045_incr_high_vs,2021_total_intensity,2022_total_intensity,2023_total_intensity,2024_total_intensity,2025_total_intensity,2026_total_intensity,2027_total_intensity,2028_total_intensity,2029_total_intensity,2030_total_intensity,2031_total_intensity,2032_total_intensity,2033_total_intensity,2034_total_intensity,2035_total_intensity,2036_total_intensity,2037_total_intensity,2038_total_intensity,2039_total_intensity,2040_total_intensity,2041_total_intensity,2042_total_intensity,2043_total_intensity,2044_total_intensity,2045_total_intensity
30250.0,Aurukun,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
30300.0,Balonne,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30370.0,Banana,220.0,0.0,0.0,220.0,0.0,0.0,220.0,0.0,0.0,220.0,0.0,0.0,220.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,220.0,220.0,220.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30410.0,Barcaldine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30450.0,Barcoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30760.0,Blackall Tambo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30900.0,Boulia,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31000.0,Brisbane,22760.0,6510.0,40.0,22760.0,6510.0,40.0,22760.0,6510.0,40.0,22760.0,6510.0,40.0,22760.0,6510.0,40.0,18890.0,5400.0,30.0,18890.0,5400.0,30.0,18890.0,5400.0,30.0,18890.0,5400.0,30.0,18890.0,5400.0,30.0,19580.0,5600.0,30.0,19580.0,5600.0,30.0,19580.0,5600.0,30.0,19580.0,5600.0,30.0,19580.0,5600.0,30.0,19160.0,5480.0,30.0,19160.0,5480.0,30.0,19160.0,5480.0,30.0,19160.0,5480.0,30.0,19160.0,5480.0,30.0,20250.0,5790.0,30.0,20250.0,5790.0,30.0,20250.0,5790.0,30.0,20250.0,5790.0,30.0,20250.0,5790.0,30.0,29310.0,29310.0,29310.0,29310.0,29310.0,24320.0,24320.0,24320.0,24320.0,24320.0,25210.0,25210.0,25210.0,25210.0,25210.0,24680.0,24680.0,24680.0,24680.0,24680.0,26080.0,26080.0,26080.0,26080.0,26080.0
31750.0,Bulloo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31820.0,Bundaberg,3720.0,60.0,0.0,3720.0,60.0,0.0,3720.0,60.0,0.0,3720.0,60.0,0.0,3720.0,60.0,0.0,3320.0,60.0,0.0,3320.0,60.0,0.0,3320.0,60.0,0.0,3320.0,60.0,0.0,3320.0,60.0,0.0,2740.0,40.0,0.0,2740.0,40.0,0.0,2740.0,40.0,0.0,2740.0,40.0,0.0,2740.0,40.0,0.0,1720.0,30.0,0.0,1720.0,30.0,0.0,1720.0,30.0,0.0,1720.0,30.0,0.0,1720.0,30.0,0.0,1200.0,20.0,0.0,1200.0,20.0,0.0,1200.0,20.0,0.0,1200.0,20.0,0.0,1200.0,20.0,0.0,3780.0,3780.0,3780.0,3780.0,3780.0,3380.0,3380.0,3380.0,3380.0,3380.0,2780.0,2780.0,2780.0,2780.0,2780.0,1760.0,1760.0,1760.0,1760.0,1760.0,1220.0,1220.0,1220.0,1220.0,1220.0
