NewSouthWales,NorthernTerritory,Queensland,SouthAustralia,Tasmania,Victoria,WesternAustralia,Australia
1015000,0,1896100,250500,652400,5817100,899700,10530800
1015000,0,1896100,250500,652400,5817100,899700,10530800
1015000,0,1896100,250500,652400,5817100,899700,10530800
1015000,0,1896100,250500,652400,5817100,899700,10530800
1015000,0,1896100,250500,652400,5817100,899700,10530800
1015000,0,1896100,250500,652400,5817100,899700,10530800
1015000,0,1896100,250500,652400,5817100,899700,10530800
1015000,0,1896100,250500,652400,5817100,899700,10530800
1015000,0,1896100,250500,652400,5817100,899700,10530800
1015000,0,1896100,250500,652400,5817100,899700,10530800
961800,0,2077600,104200,947800,6857300,848400,11797100
961800,0,2077600,104200,947800,6857300,848400,11797100
961800,0,2077600,104200,947800,6857300,848400,11797100
961800,0,2077600,104200,947800,6857300,848400,11797100
961800,0,2077600,104200,947800,6857300,848400,11797100
961800,0,2077600,104200,947800,6857300,848400,11797100
961800,0,2077600,104200,947800,6857300,848400,11797100
961800,0,2077600,104200,947800,6857300,848400,11797100
961800,0,2077600,104200,947800,6857300,848400,11797100
961800,0,2077600,104200,947800,6857300,848400,11797100
990400,0,2321900,142300,1007500,8165700,885000,13512800
990400,0,2321900,142300,1007500,8165700,885000,13512800
990400,0,2321900,142300,1007500,8165700,885000,13512800
990400,0,2321900,142300,1007500,8165700,885000,13512800
990400,0,2321900,142300,1007500,8165700,885000,13512800
990400,0,2321900,142300,1007500,8165700,885000,13512800
990400,0,2321900,142300,1007500,8165700,885000,13512800
990400,0,2321900,142300,1007500,8165700,885000,13512800
990400,0,2321900,142300,1007500,8165700,885000,13512800
990400,0,2321900,142300,1007500,8165700,885000,13512800
987600,0,2076600,189700,1305900,8685800,1084000,14329600
987600,0,2076600,189700,1305900,8685800,1084000,14329600
987600,0,2076600,189700,1305900,8685800,1084000,14329600
987600,0,2076600,189700,1305900,8685800,1084000,14329600
987600,0,2076600,189700,1305900,8685800,1084000,14329600
987600,0,2076600,189700,1305900,8685800,1084000,14329600
987600,0,2076600,189700,1305900,8685800,1084000,14329600
987600,0,2076600,189700,1305900,8685800,1084000,14329600
987600,0,2076600,189700,1305900,8685800,1084000,14329600
987600,0,2076600,189700,1305900,8685800,1084000,14329600
1001500,0,2212400,143200,1133000,7940300,901800,13332200
1001500,0,2212400,143200,1133000,7940300,901800,13332200
1001500,0,2212400,143200,1133000,7940300,901800,13332200
1001500,0,2212400,143200,1133000,7940300,901800,13332200
1001500,0,2212400,143200,1133000,7940300,901800,13332200
