Year,NewSouthWales,NorthernTerritory,Queensland,SouthAustralia,Tasmania,Victoria,WesternAustralia,Australia
2020,1326800,0,2478600,327500,852800,7604100,1176100,13765800
2021,1326800,0,2478600,327500,852800,7604100,1176100,13765800
2022,1326800,0,2478600,327500,852800,7604100,1176100,13765800
2023,1326800,0,2478600,327500,852800,7604100,1176100,13765800
2024,1326800,0,2478600,327500,852800,7604100,1176100,13765800
2025,1326800,0,2478600,327500,852800,7604100,1176100,13765800
2026,1326800,0,2478600,327500,852800,7604100,1176100,13765800
2027,1326800,0,2478600,327500,852800,7604100,1176100,13765800
2028,1326800,0,2478600,327500,852800,7604100,1176100,13765800
2029,1326800,0,2478600,327500,852800,7604100,1176100,13765800
2030,1257300,0,2715800,136200,1239000,8963800,1109000,15421000
2031,1257300,0,2715800,136200,1239000,8963800,1109000,15421000
2032,1257300,0,2715800,136200,1239000,8963800,1109000,15421000
2033,1257300,0,2715800,136200,1239000,8963800,1109000,15421000
2034,1257300,0,2715800,136200,1239000,8963800,1109000,15421000
2035,1257300,0,2715800,136200,1239000,8963800,1109000,15421000
2036,1257300,0,2715800,136200,1239000,8963800,1109000,15421000
2037,1257300,0,2715800,136200,1239000,8963800,1109000,15421000
2038,1257300,0,2715800,136200,1239000,8963800,1109000,15421000
2039,1257300,0,2715800,136200,1239000,8963800,1109000,15421000
2040,1294600,0,3035200,186000,1317000,10674100,1156900,17663800
2041,1294600,0,3035200,186000,1317000,10674100,1156900,17663800
2042,1294600,0,3035200,186000,1317000,10674100,1156900,17663800
2043,1294600,0,3035200,186000,1317000,10674100,1156900,17663800
2044,1294600,0,3035200,186000,1317000,10674100,1156900,17663800
2045,1294600,0,3035200,186000,1317000,10674100,1156900,17663800
2046,1294600,0,3035200,186000,1317000,10674100,1156900,17663800
2047,1294600,0,3035200,186000,1317000,10674100,1156900,17663800
2048,1294600,0,3035200,186000,1317000,10674100,1156900,17663800
2049,1294600,0,3035200,186000,1317000,10674100,1156900,17663800
2050,1291000,0,2714500,248000,1707100,11354000,1417000,18731500
2051,1291000,0,2714500,248000,1707100,11354000,1417000,18731500
2052,1291000,0,2714500,248000,1707100,11354000,1417000,18731500
2053,1291000,0,2714500,248000,1707100,11354000,1417000,18731500
2054,1291000,0,2714500,248000,1707100,11354000,1417000,18731500
2055,1291000,0,2714500,248000,1707100,11354000,1417000,18731500
2056,1291000,0,2714500,248000,1707100,11354000,1417000,18731500
2057,1291000,0,2714500,248000,1707100,11354000,1417000,18731500
2058,1291000,0,2714500,248000,1707100,11354000,1417000,18731500
2059,1291000,0,2714500,248000,1707100,11354000,1417000,18731500
2060,1309200,0,2892000,187200,1481000,10379500,1178800,17427700
2061,1309200,0,2892000,187200,1481000,10379500,1178800,17427700
2062,1309200,0,2892000,187200,1481000,10379500,1178800,17427700
2063,1309200,0,2892000,187200,1481000,10379500,1178800,17427700
2064,1309200,0,2892000,187200,1481000,10379500,1178800,17427700
