Year,NewSouthWales,NorthernTerritory,Queensland,SouthAustralia,Tasmania,Victoria,WesternAustralia,Australia
2020,944000,0,1763400,233000,606700,5409900,836700,9793600
2021,944000,0,1763400,233000,606700,5409900,836700,9793600
2022,944000,0,1763400,233000,606700,5409900,836700,9793600
2023,944000,0,1763400,233000,606700,5409900,836700,9793600
2024,944000,0,1763400,233000,606700,5409900,836700,9793600
2025,944000,0,1763400,233000,606700,5409900,836700,9793600
2026,944000,0,1763400,233000,606700,5409900,836700,9793600
2027,944000,0,1763400,233000,606700,5409900,836700,9793600
2028,944000,0,1763400,233000,606700,5409900,836700,9793600
2029,944000,0,1763400,233000,606700,5409900,836700,9793600
2030,894500,0,1932200,96900,881500,6377300,789000,10971300
2031,894500,0,1932200,96900,881500,6377300,789000,10971300
2032,894500,0,1932200,96900,881500,6377300,789000,10971300
2033,894500,0,1932200,96900,881500,6377300,789000,10971300
2034,894500,0,1932200,96900,881500,6377300,789000,10971300
2035,894500,0,1932200,96900,881500,6377300,789000,10971300
2036,894500,0,1932200,96900,881500,6377300,789000,10971300
2037,894500,0,1932200,96900,881500,6377300,789000,10971300
2038,894500,0,1932200,96900,881500,6377300,789000,10971300
2039,894500,0,1932200,96900,881500,6377300,789000,10971300
2040,921100,0,2159400,132300,937000,7594100,823000,12566900
2041,921100,0,2159400,132300,937000,7594100,823000,12566900
2042,921100,0,2159400,132300,937000,7594100,823000,12566900
2043,921100,0,2159400,132300,937000,7594100,823000,12566900
2044,921100,0,2159400,132300,937000,7594100,823000,12566900
2045,921100,0,2159400,132300,937000,7594100,823000,12566900
2046,921100,0,2159400,132300,937000,7594100,823000,12566900
2047,921100,0,2159400,132300,937000,7594100,823000,12566900
2048,921100,0,2159400,132300,937000,7594100,823000,12566900
2049,921100,0,2159400,132300,937000,7594100,823000,12566900
2050,918500,0,1931200,176400,1214500,8077800,1008100,13326500
2051,918500,0,1931200,176400,1214500,8077800,1008100,13326500
2052,918500,0,1931200,176400,1214500,8077800,1008100,13326500
2053,918500,0,1931200,176400,1214500,8077800,1008100,13326500
2054,918500,0,1931200,176400,1214500,8077800,1008100,13326500
2055,918500,0,1931200,176400,1214500,8077800,1008100,13326500
2056,918500,0,1931200,176400,1214500,8077800,1008100,13326500
2057,918500,0,1931200,176400,1214500,8077800,1008100,13326500
2058,918500,0,1931200,176400,1214500,8077800,1008100,13326500
2059,918500,0,1931200,176400,1214500,8077800,1008100,13326500
2060,931400,0,2057500,133200,1053700,7384500,838700,12398900
2061,931400,0,2057500,133200,1053700,7384500,838700,12398900
2062,931400,0,2057500,133200,1053700,7384500,838700,12398900
2063,931400,0,2057500,133200,1053700,7384500,838700,12398900
2064,931400,0,2057500,133200,1053700,7384500,838700,12398900
