Year,NewSouthWales,NorthernTerritory,Queensland,SouthAustralia,Tasmania,Victoria,WesternAustralia,Australia
2020,451200,0,842900,111400,290000,2585900,399900,4681300
2021,451200,0,842900,111400,290000,2585900,399900,4681300
2022,451200,0,842900,111400,290000,2585900,399900,4681300
2023,451200,0,842900,111400,290000,2585900,399900,4681300
2024,451200,0,842900,111400,290000,2585900,399900,4681300
2025,451200,0,842900,111400,290000,2585900,399900,4681300
2026,451200,0,842900,111400,290000,2585900,399900,4681300
2027,451200,0,842900,111400,290000,2585900,399900,4681300
2028,451200,0,842900,111400,290000,2585900,399900,4681300
2029,451200,0,842900,111400,290000,2585900,399900,4681300
2030,427600,0,923600,46300,421400,3048300,377100,5244300
2031,427600,0,923600,46300,421400,3048300,377100,5244300
2032,427600,0,923600,46300,421400,3048300,377100,5244300
2033,427600,0,923600,46300,421400,3048300,377100,5244300
2034,427600,0,923600,46300,421400,3048300,377100,5244300
2035,427600,0,923600,46300,421400,3048300,377100,5244300
2036,427600,0,923600,46300,421400,3048300,377100,5244300
2037,427600,0,923600,46300,421400,3048300,377100,5244300
2038,427600,0,923600,46300,421400,3048300,377100,5244300
2039,427600,0,923600,46300,421400,3048300,377100,5244300
2040,440300,0,1032200,63200,447900,3630000,393400,6007000
2041,440300,0,1032200,63200,447900,3630000,393400,6007000
2042,440300,0,1032200,63200,447900,3630000,393400,6007000
2043,440300,0,1032200,63200,447900,3630000,393400,6007000
2044,440300,0,1032200,63200,447900,3630000,393400,6007000
2045,440300,0,1032200,63200,447900,3630000,393400,6007000
2046,440300,0,1032200,63200,447900,3630000,393400,6007000
2047,440300,0,1032200,63200,447900,3630000,393400,6007000
2048,440300,0,1032200,63200,447900,3630000,393400,6007000
2049,440300,0,1032200,63200,447900,3630000,393400,6007000
2050,439000,0,923100,84300,580500,3861200,481900,6370100
2051,439000,0,923100,84300,580500,3861200,481900,6370100
2052,439000,0,923100,84300,580500,3861200,481900,6370100
2053,439000,0,923100,84300,580500,3861200,481900,6370100
2054,439000,0,923100,84300,580500,3861200,481900,6370100
2055,439000,0,923100,84300,580500,3861200,481900,6370100
2056,439000,0,923100,84300,580500,3861200,481900,6370100
2057,439000,0,923100,84300,580500,3861200,481900,6370100
2058,439000,0,923100,84300,580500,3861200,481900,6370100
2059,439000,0,923100,84300,580500,3861200,481900,6370100
2060,445200,0,983500,63700,503700,3529800,400900,5926700
2061,445200,0,983500,63700,503700,3529800,400900,5926700
2062,445200,0,983500,63700,503700,3529800,400900,5926700
2063,445200,0,983500,63700,503700,3529800,400900,5926700
2064,445200,0,983500,63700,503700,3529800,400900,5926700
