Year,NewSouthWales,NorthernTerritory,Queensland,SouthAustralia,Tasmania,Victoria,WesternAustralia,Australia
2020,233300,0,435800,57600,149900,1336900,206700,2420200
2021,233300,0,435800,57600,149900,1336900,206700,2420200
2022,233300,0,435800,57600,149900,1336900,206700,2420200
2023,233300,0,435800,57600,149900,1336900,206700,2420200
2024,233300,0,435800,57600,149900,1336900,206700,2420200
2025,233300,0,435800,57600,149900,1336900,206700,2420200
2026,233300,0,435800,57600,149900,1336900,206700,2420200
2027,233300,0,435800,57600,149900,1336900,206700,2420200
2028,233300,0,435800,57600,149900,1336900,206700,2420200
2029,233300,0,435800,57600,149900,1336900,206700,2420200
2030,221100,0,477500,23900,217900,1576000,195000,2711300
2031,221100,0,477500,23900,217900,1576000,195000,2711300
2032,221100,0,477500,23900,217900,1576000,195000,2711300
2033,221100,0,477500,23900,217900,1576000,195000,2711300
2034,221100,0,477500,23900,217900,1576000,195000,2711300
2035,221100,0,477500,23900,217900,1576000,195000,2711300
2036,221100,0,477500,23900,217900,1576000,195000,2711300
2037,221100,0,477500,23900,217900,1576000,195000,2711300
2038,221100,0,477500,23900,217900,1576000,195000,2711300
2039,221100,0,477500,23900,217900,1576000,195000,2711300
2040,227600,0,533600,32700,231600,1876700,203400,3105600
2041,227600,0,533600,32700,231600,1876700,203400,3105600
2042,227600,0,533600,32700,231600,1876700,203400,3105600
2043,227600,0,533600,32700,231600,1876700,203400,3105600
2044,227600,0,533600,32700,231600,1876700,203400,3105600
2045,227600,0,533600,32700,231600,1876700,203400,3105600
2046,227600,0,533600,32700,231600,1876700,203400,3105600
2047,227600,0,533600,32700,231600,1876700,203400,3105600
2048,227600,0,533600,32700,231600,1876700,203400,3105600
2049,227600,0,533600,32700,231600,1876700,203400,3105600
2050,227000,0,477200,43600,300100,1996200,249100,3293300
2051,227000,0,477200,43600,300100,1996200,249100,3293300
2052,227000,0,477200,43600,300100,1996200,249100,3293300
2053,227000,0,477200,43600,300100,1996200,249100,3293300
2054,227000,0,477200,43600,300100,1996200,249100,3293300
2055,227000,0,477200,43600,300100,1996200,249100,3293300
2056,227000,0,477200,43600,300100,1996200,249100,3293300
2057,227000,0,477200,43600,300100,1996200,249100,3293300
2058,227000,0,477200,43600,300100,1996200,249100,3293300
2059,227000,0,477200,43600,300100,1996200,249100,3293300
2060,230200,0,508500,32900,260400,1824900,207300,3064100
2061,230200,0,508500,32900,260400,1824900,207300,3064100
2062,230200,0,508500,32900,260400,1824900,207300,3064100
2063,230200,0,508500,32900,260400,1824900,207300,3064100
2064,230200,0,508500,32900,260400,1824900,207300,3064100
