Year,NewSouthWales,NorthernTerritory,Queensland,SouthAustralia,Tasmania,Victoria,WesternAustralia,Australia
2020,133000.0,0.0,248400.0,32800.0,85400.0,762000.0,117800.0,1379500.0
2021,131800.0,0.0,246200.0,32500.0,84700.0,755300.0,116800.0,1367400.0
2022,130600.0,0.0,244000.0,32300.0,83900.0,748700.0,115800.0,1355300.0
2023,129500.0,0.0,241900.0,32000.0,83200.0,742000.0,114700.0,1343200.0
2024,128300.0,0.0,239700.0,31700.0,82400.0,735300.0,113700.0,1331100.0
2025,127100.0,0.0,237500.0,31400.0,81700.0,728600.0,112700.0,1319000.0
2026,126000.0,0.0,235300.0,31100.0,80900.0,721900.0,111600.0,1306900.0
2027,124800.0,0.0,233200.0,30800.0,80200.0,715200.0,110600.0,1294800.0
2028,123600.0,0.0,231000.0,30500.0,79400.0,708600.0,109600.0,1282700.0
2029,122500.0,0.0,228800.0,30200.0,78700.0,701900.0,108500.0,1270600.0
2030,115000.0,0.0,248300.0,12400.0,113300.0,819500.0,101400.0,1409900.0
2031,113900.0,0.0,245900.0,12300.0,112200.0,811600.0,100400.0,1396300.0
2032,112800.0,0.0,243500.0,12200.0,111100.0,803800.0,99400.0,1382800.0
2033,111700.0,0.0,241100.0,12100.0,110000.0,795900.0,98500.0,1369200.0
2034,110600.0,0.0,238800.0,12000.0,109000.0,788000.0,97500.0,1355600.0
2035,109400.0,0.0,236400.0,11800.0,107900.0,780100.0,96500.0,1342100.0
2036,108300.0,0.0,234000.0,11700.0,106800.0,772200.0,95600.0,1328500.0
2037,107200.0,0.0,231600.0,11600.0,105700.0,764400.0,94600.0,1315000.0
2038,106100.0,0.0,229200.0,11500.0,104600.0,756500.0,93600.0,1301400.0
2039,105000.0,0.0,226800.0,11400.0,103500.0,748600.0,92600.0,1287900.0
2040,107000.0,0.0,250800.0,15400.0,108900.0,882000.0,95600.0,1459600.0
2041,105800.0,0.0,248100.0,15200.0,107700.0,872700.0,94600.0,1444100.0
2042,104700.0,0.0,245500.0,15000.0,106500.0,863300.0,93600.0,1428600.0
2043,103600.0,0.0,242800.0,14900.0,105400.0,853900.0,92500.0,1413000.0
2044,102400.0,0.0,240100.0,14700.0,104200.0,844500.0,91500.0,1397500.0
2045,101300.0,0.0,237500.0,14600.0,103100.0,835100.0,90500.0,1382000.0
2046,100100.0,0.0,234800.0,14400.0,101900.0,825700.0,89500.0,1366500.0
2047,99000.0,0.0,232100.0,14200.0,100700.0,816400.0,88500.0,1350900.0
2048,97900.0,0.0,229400.0,14100.0,99600.0,807000.0,87500.0,1335400.0
2049,96700.0,0.0,226800.0,13900.0,98400.0,797600.0,86400.0,1319900.0
2050,95300.0,0.0,200400.0,18300.0,126000.0,838400.0,104600.0,1383200.0
2051,94200.0,0.0,198000.0,18100.0,124500.0,828400.0,103400.0,1366700.0
2052,93100.0,0.0,195700.0,17900.0,123000.0,818400.0,102100.0,1350300.0
2053,91900.0,0.0,193300.0,17700.0,121500.0,808500.0,100900.0,1333800.0
2054,90800.0,0.0,190900.0,17400.0,120000.0,798500.0,99600.0,1317300.0
2055,89700.0,0.0,188500.0,17200.0,118500.0,788500.0,98400.0,1300900.0
2056,88500.0,0.0,186100.0,17000.0,117000.0,778500.0,97100.0,1284400.0
2057,87400.0,0.0,183700.0,16800.0,115500.0,768500.0,95900.0,1267900.0
2058,86300.0,0.0,181300.0,16600.0,114000.0,758600.0,94700.0,1251500.0
2059,85100.0,0.0,179000.0,16400.0,112500.0,748600.0,93400.0,1235000.0
2060,85200.0,0.0,188100.0,12200.0,96300.0,675200.0,76700.0,1133700.0
2061,84000.0,0.0,185600.0,12000.0,95000.0,666100.0,75700.0,1118400.0
2062,82900.0,0.0,183100.0,11800.0,93700.0,657000.0,74600.0,1103100.0
2063,81700.0,0.0,180500.0,11700.0,92400.0,647800.0,73600.0,1087800.0
2064,80600.0,0.0,178000.0,11500.0,91100.0,638700.0,72600.0,1072400.0
