year,qld_dwelling_change,qld_timber_dwelling_change,nsw_dwelling_change,nsw_timber_dwelling_change,vic_dwelling_change,vic_timber_dwelling_change,qld_supply_trees,qld_supply_timber,nsw_supply_trees,nsw_supply_timber,vic_supply_trees,vic_supply_timber,aus_supply_trees,aus_supply_timber
2020,0,0,,,,,2478600,223600,1326800,119700,7604100,685800,13765800,1241600
2021,41147,282600,35237,233300,55540,379400,2478600,221600,1326800,118600,7604100,679800,13765800,1230700
2022,41147,282600,35237,233300,55540,379400,2478600,219600,1326800,117500,7604100,673800,13765800,1219800
2023,41147,282600,35237,233300,55540,379400,2478600,217700,1326800,116600,7604100,667800,13765800,1208900
2024,41147,282600,35237,233300,55540,379400,2478600,215700,1326800,115500,7604100,661800,13765800,1198000
2025,41147,282600,35237,233300,55540,379400,2478600,213800,1326800,114400,7604100,655700,13765800,1187100
2026,38674,271300,48631,294800,55763,375200,2478600,211800,1326800,113400,7604100,649700,13765800,1176200
2027,38674,271300,48631,294800,55763,375200,2478600,209900,1326800,112300,7604100,643700,13765800,1165300
2028,38674,271300,48631,294800,55763,375200,2478600,207900,1326800,111200,7604100,637700,13765800,1154400
2029,38674,271300,48631,294800,55763,375200,2478600,205900,1326800,110200,7604100,631700,13765800,1143500
2030,38674,271300,48631,294800,55763,375200,2715800,223500,1257300,103500,8963800,737600,15421000,1268900
2031,38040,265300,49609,299500,58102,389900,2715800,221300,1257300,102500,8963800,730400,15421000,1256700
2032,38040,265300,49609,299500,58102,389900,2715800,219200,1257300,101500,8963800,723400,15421000,1244500
2033,38040,265300,49609,299500,58102,389900,2715800,217000,1257300,100500,8963800,716300,15421000,1232300
2034,38040,265300,49609,299500,58102,389900,2715800,214900,1257300,99500,8963800,709200,15421000,1220000
2035,38040,265300,49609,299500,58102,389900,2715800,212800,1257300,98500,8963800,702100,15421000,1207900
2036,35139,243300,,,,,2715800,210600,1257300,97500,8963800,695000,15421000,1195600
2037,35139,243300,,,,,2715800,208400,1257300,96500,8963800,688000,15421000,1183500
2038,35139,243300,,,,,2715800,206300,1257300,95500,8963800,680800,15421000,1171300
2039,35139,243300,,,,,2715800,204100,1257300,94500,8963800,673700,15421000,1159100
2040,35139,243300,,,,,3035200,225700,1294600,96300,10674100,793800,17663800,1313600
2041,33567,229900,,,,,3035200,223300,1294600,95200,10674100,785400,17663800,1299700
2042,33567,229900,,,,,3035200,221000,1294600,94200,10674100,777000,17663800,1285700
2043,33567,229900,,,,,3035200,218500,1294600,93200,10674100,768500,17663800,1271700
2044,33567,229900,,,,,3035200,216100,1294600,92200,10674100,760000,17663800,1257800
2045,33567,229900,,,,,3035200,213800,1294600,91200,10674100,751600,17663800,1243800
2046,,,,,,,3035200,211300,1294600,90100,10674100,743100,17663800,1229800
2047,,,,,,,3035200,208900,1294600,89100,10674100,734800,17663800,1215800
2048,,,,,,,3035200,206500,1294600,88100,10674100,726300,17663800,1201900
2049,,,,,,,3035200,204100,1294600,87000,10674100,717800,17663800,1187900
2050,,,,,,,2714500,180400,1291000,85800,11354000,754600,18731500,1244900
2051,,,,,,,2714500,178200,1291000,84800,11354000,745600,18731500,1230000
2052,,,,,,,2714500,176100,1291000,83800,11354000,736600,18731500,1215300
2053,,,,,,,2714500,174000,1291000,82700,11354000,727600,18731500,1200400
2054,,,,,,,2714500,171800,1291000,81700,11354000,718600,18731500,1185600
2055,,,,,,,2714500,169600,1291000,80700,11354000,709600,18731500,1170800
2056,,,,,,,2714500,167500,1291000,79600,11354000,700600,18731500,1156000
2057,,,,,,,2714500,165300,1291000,78700,11354000,691600,18731500,1141100
2058,,,,,,,2714500,163200,1291000,77700,11354000,682700,18731500,1126400
2059,,,,,,,2714500,161100,1291000,76600,11354000,673700,18731500,1111500
2060,,,,,,,2892000,169300,1309200,76700,10379500,607700,17427700,1020300
2061,,,,,,,2892000,167000,1309200,75600,10379500,599500,17427700,1006600
2062,,,,,,,2892000,164800,1309200,74600,10379500,591300,17427700,992800
2063,,,,,,,2892000,162400,1309200,73500,10379500,583000,17427700,979000
2064,,,,,,,2892000,160200,1309200,72500,10379500,574800,17427700,965200
